5000 124975
0 1 182
0 162 348
0 256 80
0 291 956
0 332 458
0 347 738
0 451 384
0 883 349
0 904 678
0 1308 371
0 1370 289
0 1402 664
0 1841 158
0 1977 170
0 2013 592
0 2093 359
0 2111 730
0 2365 288
0 2400 161
0 2545 93
0 2836 634
0 2936 110
0 2968 861
0 2984 615
0 3117 957
0 3189 757
0 3192 244
0 3258 275
0 3303 378
0 3422 818
0 3492 466
0 3506 858
0 3861 430
0 3924 174
0 4046 288
0 4311 332
0 4432 771
0 4499 413
0 4513 76
0 4526 883
0 4574 656
0 4656 917
0 4744 955
0 4762 695
0 4822 38
0 4999 229
1 2 625
1 4 418
1 253 19
1 534 868
1 607 97
1 796 165
1 841 69
1 855 261
1 1023 142
1 1249 101
1 1344 705
1 1449 666
1 1735 842
1 1743 490
1 1794 544
1 1855 722
1 1883 741
1 2370 253
1 2482 54
1 2599 564
1 2821 912
1 2973 348
1 3283 380
1 3329 838
1 3356 5
1 3430 786
1 3565 65
1 3588 24
1 3699 80
1 3811 279
1 3873 122
1 3920 481
1 3948 802
1 4021 272
1 4114 991
1 4173 75
1 4187 685
1 4346 767
1 4379 590
1 4531 154
1 4535 481
1 4657 290
1 4785 76
1 4797 753
2 3 367
2 163 978
2 389 430
2 408 310
2 473 584
2 544 732
2 622 810
2 748 170
2 904 838
2 924 188
2 1022 205
2 1228 630
2 1368 203
2 1381 265
2 1712 608
2 1727 945
2 1822 891
2 2322 691
2 2437 56
2 2642 401
2 2690 220
2 2746 200
2 2892 78
2 2966 759
2 3078 788
2 3129 855
2 3135 178
2 3161 344
2 3176 983
2 3194 702
2 3353 164
2 3439 978
2 3558 74
2 3632 426
2 3669 528
2 3855 659
2 3915 102
2 4110 608
2 4275 731
2 4422 202
2 4500 898
2 4568 695
2 4596 221
2 4779 198
2 4918 84
2 4934 206
3 4 681
3 127 679
3 163 353
3 239 720
3 278 805
3 411 446
3 594 274
3 627 133
3 755 102
3 897 930
3 908 832
3 984 351
3 1172 979
3 1239 245
3 1277 971
3 1330 535
3 1409 2
3 1443 381
3 1497 483
3 1536 819
3 1619 215
3 1692 636
3 1733 988
3 1797 419
3 1969 395
3 1980 323
3 1993 804
3 2063 399
3 2217 963
3 2396 265
3 2428 59
3 2491 758
3 2554 653
3 2624 455
3 2630 241
3 2777 295
3 2813 753
3 2835 816
3 2839 872
3 2927 227
3 2964 530
3 3158 669
3 3560 588
3 3912 439
3 3926 855
3 3943 427
3 4005 796
3 4033 853
3 4098 10
3 4123 781
3 4503 830
3 4677 996
3 4780 915
3 4886 509
3 4972 695
4 5 31
4 153 541
4 275 658
4 330 694
4 542 647
4 551 221
4 698 318
4 789 407
4 972 773
4 987 980
4 1038 41
4 1065 13
4 1296 837
4 1334 149
4 1351 311
4 1407 845
4 1531 61
4 1725 511
4 1970 435
4 2008 438
4 2248 441
4 2392 4
4 2670 634
4 2819 969
4 2874 571
4 3033 862
4 3189 499
4 3247 446
4 3325 825
4 3606 744
4 3762 767
4 3824 67
4 3877 4
4 3934 363
4 4020 827
4 4151 4
4 4285 161
4 4444 438
4 4472 229
4 4573 526
4 4598 365
4 4861 844
4 4884 521
4 4886 284
5 6 537
5 22 512
5 117 286
5 148 676
5 193 263
5 244 336
5 283 970
5 336 470
5 390 300
5 671 641
5 718 312
5 725 480
5 910 337
5 956 602
5 1086 122
5 1240 361
5 1241 279
5 1403 883
5 1539 908
5 1635 393
5 1734 909
5 1774 255
5 1934 225
5 2076 361
5 2206 177
5 2248 804
5 2296 168
5 2378 200
5 2833 678
5 2933 354
5 3567 839
5 3596 513
5 3644 898
5 3730 516
5 3858 195
5 3907 661
5 4023 879
5 4105 540
5 4423 797
5 4472 70
5 4582 611
5 4905 769
5 4990 905
5 4992 540
6 7 239
6 290 186
6 335 826
6 361 398
6 458 948
6 831 464
6 1203 682
6 1386 658
6 1554 761
6 1573 259
6 1935 242
6 1972 595
6 2012 960
6 2077 536
6 2277 871
6 2294 837
6 2437 747
6 2457 613
6 2630 464
6 2725 141
6 2729 390
6 2968 630
6 2975 40
6 3073 531
6 3106 596
6 3114 593
6 3413 429
6 3541 283
6 3550 577
6 4270 895
6 4498 720
6 4526 736
6 4692 77
6 4917 127
6 4956 788
6 4989 657
7 8 697
7 328 766
7 346 376
7 409 262
7 478 316
7 669 887
7 715 586
7 812 559
7 925 226
7 946 566
7 1150 144
7 1232 657
7 1369 171
7 1425 437
7 1427 589
7 1469 26
7 1500 527
7 1572 180
7 1674 401
7 2049 354
7 2107 23
7 2140 832
7 2178 902
7 2179 24
7 2225 823
7 2355 295
7 2373 853
7 2536 627
7 2585 577
7 2633 730
7 2678 927
7 2794 966
7 2837 186
7 2931 234
7 2984 676
7 3105 107
7 3212 814
7 3457 350
7 3506 551
7 3539 161
7 3679 460
7 3876 692
7 4265 546
