100 7994
90 69 5
90 88 698
90 61 705
90 98 775
90 64 740
90 77 786
90 95 631
90 7 652
90 92 726
90 79 523
90 99 578
90 93 570
90 87 722
90 54 616
90 73 549
90 67 971
90 80 645
90 52 656
90 72 614
90 1 751
90 18 724
90 91 938
90 60 729
90 19 563
90 96 747
90 86 708
90 82 914
90 20 735
90 4 649
90 28 901
90 33 665
90 9 757
90 97 910
90 57 973
90 24 856
90 78 641
90 56 599
90 26 648
90 23 757
90 43 748
90 6 701
90 0 840
90 50 771
90 51 826
90 16 765
90 55 519
90 46 922
90 40 798
90 58 508
90 59 766
90 44 618
90 34 593
90 30 586
90 47 959
90 45 642
90 66 941
90 41 774
90 68 775
90 22 850
90 70 564
90 71 989
90 74 539
90 49 501
90 76 676
90 37 529
90 42 891
90 27 977
90 81 795
90 83 946
90 84 570
90 85 505
90 31 520
90 14 815
90 2 718
90 89 678
90 25 717
90 10 651
90 94 949
90 35 840
90 5 817
90 15 7
69 90 5
69 88 6
69 75 875
69 98 674
69 64 533
69 77 848
69 95 619
69 92 555
69 99 585
69 93 705
69 12 708
69 73 509
69 52 951
69 72 518
69 1 851
69 65 903
69 18 646
69 91 624
69 60 518
69 19 902
69 63 675
69 29 736
69 86 880
69 82 809
69 20 674
69 4 597
69 28 947
69 33 567
69 9 668
69 17 773
69 97 615
69 24 755
69 78 817
69 56 869
69 26 542
69 23 598
69 43 608
69 6 598
69 0 916
69 50 672
69 36 619
69 53 913
69 46 667
69 40 592
69 58 601
69 59 796
69 47 741
69 41 546
69 68 552
69 22 720
69 70 986
69 21 957
69 38 688
69 74 802
69 42 539
69 27 687
69 32 557
69 85 734
69 14 633
69 89 947
69 48 834
69 25 786
69 10 595
69 13 650
69 94 935
69 8 816
69 39 856
69 5 678
69 15 708
88 90 698
88 69 6
88 75 10
88 61 952
88 98 550
88 77 726
88 95 574
88 92 873
88 99 511
88 87 607
88 12 658
88 73 974
88 67 997
88 80 578
88 52 578
88 72 960
88 65 667
88 18 881
88 91 665
88 60 534
88 96 759
88 63 537
88 29 674
88 86 730
88 82 704
88 20 793
88 4 857
88 28 578
88 33 543
88 9 613
88 17 545
88 24 624
88 78 798
88 56 516
88 26 803
88 43 693
88 6 948
88 0 629
88 3 942
88 51 621
88 36 900
88 53 761
88 16 912
88 55 650
88 40 525
88 58 593
88 59 593
88 44 876
88 34 857
88 30 550
88 47 567
88 66 531
88 41 852
88 68 556
88 22 541
88 70 588
88 38 838
88 74 932
88 49 623
88 37 716
88 42 803
88 11 640
88 27 531
88 32 598
88 83 502
88 84 913
88 85 771
88 2 929
88 89 852
88 48 935
88 25 981
88 13 605
88 8 821
88 35 988
88 39 520
88 5 766
75 69 875
75 88 10
75 61 7
75 98 716
75 64 915
75 77 658
75 95 969
75 7 802
75 92 760
75 99 561
75 87 542
75 54 647
75 73 971
75 67 611
75 80 907
75 52 606
75 72 545
75 65 938
75 91 948
75 60 910
75 63 540
75 86 601
75 82 761
75 20 831
75 4 995
75 28 518
75 9 829
75 17 861
75 97 601
75 57 658
75 24 697
75 78 783
75 56 999
75 26 924
75 23 941
75 43 695
75 6 565
75 0 935
75 3 574
75 50 908
75 36 576
75 53 533
75 16 580
75 55 752
75 46 978
75 40 684
75 59 681
75 44 628
75 34 983
75 62 570
75 30 595
75 45 882
75 66 848
75 41 661
75 68 920
75 70 805
75 71 840
75 21 845
75 49 864
75 42 855
75 11 504
75 81 926
75 32 577
75 83 993
75 84 519
75 31 532
75 14 800
75 89 606
75 48 983
75 10 663
75 8 972
75 35 925
75 5 929
61 90 705
61 88 952
61 75 7
61 98 1
61 64 708
61 95 974
61 7 953
61 92 924
61 79 526
61 99 781
61 93 801
61 87 510
61 12 675
61 54 947
61 73 568
61 67 742
61 80 752
61 72 534
61 1 999
61 65 529
61 18 568
61 60 562
61 96 941
61 63 912
61 29 701
61 86 803
61 82 678
61 20 637
61 4 792
61 28 839
61 9 761
61 57 725
61 24 581
61 56 545
61 26 679
61 23 794
61 43 685
61 0 738
61 3 716
61 50 888
61 36 984
61 53 529
61 16 525
61 55 936
61 46 552
61 40 977
61 59 547
61 44 820
61 34 897
61 62 560
61 30 643
61 45 882
61 66 851
61 41 568
61 68 875
61 22 525
61 70 580
61 71 501
61 21 801
61 38 857
61 74 506
61 49 529
61 37 944
61 42 910
61 11 990
61 27 623
61 81 787
61 32 976
61 83 519
61 85 923
61 31 876
61 14 695
61 89 849
61 48 933
61 10 565
61 94 517
61 8 837
61 35 809
61 15 804
98 90 775
98 69 674
98 88 550
98 75 716
98 61 1
98 64 7
98 95 781
98 7 754
98 92 690
98 79 547
98 93 594
98 87 961
98 12 988
98 54 775
98 73 960
98 67 551
98 80 941
98 52 757
98 72 920
98 65 724
98 91 857
98 60 877
98 96 759
98 63 594
98 29 604
98 20 936
98 4 527
98 28 517
98 33 673
98 9 808
98 97 910
98 57 899
98 24 910
98 78 568
98 26 945
98 23 567
98 6 513
98 0 993
98 50 745
98 51 567
98 53 585
98 16 544
98 55 947
98 46 593
98 40 995
98 58 655
98 59 955
98 44 876
98 34 668
98 30 724
98 47 983
98 45 840
98 66 991
98 41 693
98 68 709
98 70 848
98 71 632
98 21 918
98 38 505
98 74 570
98 49 522
98 76 883
98 37 929
98 42 505
98 11 979
98 81 607
98 32 531
98 83 779
98 84 861
